v	prob
TRBV18	0.025675282241602794
TRBV17	4.826602854992922E-6
TRBV11-1	0.0053548916708911695
TRBV11-2	0.015537557118378124
TRBV19	0.0477983652208394
TRBV4-1	0.018494610148538926
TRBV4-2	0.01189745044766267
TRBV6-3	0.01677718665697027
TRBV6-4	0.00705929100478445
TRBV8-2	1.172025204527834E-6
TRBV6-1	0.028765897696957067
TRBV4-3	0.01935493811928753
TRBV6-2	0.014868459516932837
TRBV6-7	3.789037193632744E-4
TRBV11-3	0.011550298016763922
TRBV14	0.009044755336306338
TRBV6-8	0.013218893967142384
TRBV13	0.00759260529259782
TRBV6-5	0.026381192029048282
TRBV16	7.919732977608009E-4
TRBV6-6	0.02169261423420117
TRBV15	0.013913767294272038
TRBV6-9	0.0026614255641859556
TRBV20-1	0.08443065627789706
TRBV22-1	4.545736174623491E-6
TRBV24-1	0.01647826560152222
TRBV10-1	0.005347439488785646
TRBV10-2	0.004928758756951299
TRBV12-1	3.0218021254220116E-4
TRBV10-3	0.01690572780393567
TRBV3-2	0.016435338798904103
TRBV5-1	0.06242464360760708
TRBV3-1	0.01643560101471257
TRBV7-2	0.02483788800095819
TRBV5-4	0.0141051664043041
TRBV5-5	0.009319525609488982
TRBV7-3	0.008931363884251637
TRBV5-2	3.7401067967465415E-6
TRBV5-3	0.0012074594332113903
TRBV7-1	3.452662649127592E-5
TRBV5-8	0.014104530508896587
TRBV7-6	0.01604294994735699
TRBV12-2	6.666627246007244E-4
TRBV12-3	0.023255920053260614
TRBV7-7	0.006089690003505014
TRBV12-4	0.02325680436945309
TRBV5-6	0.00923280435244867
TRBV7-4	0.0042933329319753705
TRBV5-7	0.008269058069542605
TRBV7-5	1.6830403333227328E-4
TRBV12-5	0.004696505850086558
TRBV7-8	0.023347079997092544
TRBV7-9	0.034746629858630335
TRBV30	0.028196303379973472
TRBV1	6.116281953145525E-4
TRBV21-1	0.0047398056701427145
TRBV28	0.04548340343997436
TRBV9	0.03691572615009991
TRBV23-1	0.0019124655914313222
TRBV2	0.03903970807929004
TRBV29-1	0.025905749851694117
TRBV25-1	0.009946402934244323
TRBV27	0.03812520992025363
TRBV26	4.139500319833759E-6
